date,value
2015-10-1,5.322593120000001
2015-10-10,0.64385829
2015-10-11,0.6762837500000001
2015-10-12,0.654555315
2015-10-13,3.84898096
2015-10-14,6.617124450000001
2015-10-15,7.255946649999999
2015-10-16,4.422169640000001
2015-10-17,1.26901817
2015-10-18,1.01000833
2015-10-19,4.577647570000002
2015-10-2,2.6306309800000003
2015-10-20,3.9088368600000005
2015-10-21,8.879881913999997
2015-10-22,5.116700777
2015-10-23,2.219781562
2015-10-24,3.736771990000002
2015-10-25,0.7420277580000001
2015-10-26,4.53180222
2015-10-27,4.207111784
2015-10-28,5.255159819999999
2015-10-29,5.452502359999999
2015-10-3,0.95761562
2015-10-30,3.287855901
2015-10-31,4.593082551000002
2015-10-4,0.8644961699999999
2015-10-5,3.0439642539999996
2015-10-6,6.183561627999999
2015-10-7,1.5674402799999996
2015-10-8,4.227766728000001
2015-10-9,3.6250692119999997
2015-11-1,0.50610681
2015-11-10,4.874944805000001
2015-11-11,3.84436303
2015-11-12,5.861201355
2015-11-13,1.938886787
2015-11-14,0.1902019
2015-11-15,0.20837626000000004
2015-11-16,2.848683863
2015-11-17,5.511463777000001
2015-11-18,5.98863802
2015-11-19,4.135920761000001
2015-11-2,4.31195734
2015-11-20,3.2904412029999994
2015-11-21,3.2321059960000005
2015-11-22,1.1049607699999997
2015-11-23,6.943933689999999
2015-11-24,3.71659426
2015-11-25,2.816582694
2015-11-26,4.875188560000001
2015-11-27,6.705607007000001
2015-11-28,6.871520892000002
2015-11-29,0.683525909
2015-11-3,3.85882756
2015-11-30,2.494212419
2015-11-4,6.448096478
2015-11-5,5.463917692999999
2015-11-6,2.90635033
2015-11-7,0.33563714
2015-11-8,2.7525548600000005
2015-11-9,3.4446551
2015-12-1,4.423271392000001
2015-12-10,3.886432999000001
2015-12-11,2.7431091380000003
2015-12-12,1.714413158
2015-12-13,0.1766863
2015-12-14,1.9666835289999995
2015-12-15,3.548523104
2015-12-16,3.0285262480000004
2015-12-17,5.338791529000001
2015-12-18,4.610254950000002
2015-12-19,0.10593457
2015-12-2,4.13961604
2015-12-20,0.27619341000000003
2015-12-21,2.9772553100000003
2015-12-22,4.60198554
2015-12-23,6.880895281000002
2015-12-24,1.44104082
2015-12-25,1.6198719700000002
2015-12-26,0.34949530000000006
2015-12-27,7.286369026999998
2015-12-28,5.439533795
2015-12-29,6.982363678
2015-12-3,2.9027762240000006
2015-12-30,8.617855937999996
2015-12-31,4.370028635
2015-12-4,4.759697898000001
2015-12-5,4.465932559999999
2015-12-6,0.597328508
2015-12-7,0.20359881999999999
2015-12-8,0.977135506
2015-12-9,5.165813610000001
2015-3-1,1.2632499619999993
2015-3-10,6.094930000000002
2015-3-11,7.337850000000001
2015-3-12,4.394079999999999
2015-3-13,1.3101999999999998
2015-3-14,3.693720000000001
2015-3-15,1.4172600000000002
2015-3-16,6.266330000000001
2015-3-17,6.6657100000000025
2015-3-18,5.04026
2015-3-19,7.096950000000002
2015-3-2,6.960752143000008
2015-3-20,1.1788700000000005
2015-3-21,0.29257000000000005
2015-3-22,0.91896
2015-3-23,0.26021
2015-3-24,1.9654800000000003
2015-3-25,7.652029999999998
2015-3-26,5.141160000000001
2015-3-27,1.4311000000000003
2015-3-28,0.6208999999999999
2015-3-29,0.60435
2015-3-3,4.129800129000003
2015-3-30,5.51042
2015-3-31,3.4802699999999995
2015-3-4,8.209733746000008
2015-3-5,6.312323588999996
2015-3-6,1.9720659109999992
2015-3-7,3.420908660000001
2015-3-8,0.8170886400000004
2015-3-9,5.4281
2015-4-1,7.46861
2015-4-10,1.5829399999999998
2015-4-11,0.40655
2015-4-12,0.22789000000000006
2015-4-13,7.273700000000002
2015-4-14,6.420050000000001
2015-4-15,7.185209999999998
2015-4-16,6.39777
2015-4-17,0.32867
2015-4-18,0.5723
2015-4-19,0.14182
2015-4-2,1.7645
2015-4-20,5.690319999999998
2015-4-21,5.7867700000000015
2015-4-22,7.744459999999999
2015-4-23,6.624690000000002
2015-4-24,0.9181299999999999
2015-4-25,1.36871
2015-4-26,0.32647
2015-4-27,4.15648
2015-4-28,4.70318
2015-4-29,4.4464999999999995
2015-4-3,5.943810000000002
2015-4-30,4.936750000000002
2015-4-4,0.16704000000000002
2015-4-5,2.0182499999999997
2015-4-6,6.713479999999999
2015-4-7,7.24252
2015-4-8,6.70123
2015-4-9,4.850369999999999
2015-5-1,0.5666699999999999
2015-5-10,0.04455
2015-5-11,6.205860000000001
2015-5-12,8.12865
2015-5-13,6.769909999999998
2015-5-14,6.480010000000002
2015-5-15,0.23373000000000002
2015-5-16,1.1091500000000003
2015-5-17,2.63454
2015-5-18,5.5332099999999995
2015-5-19,4.9970099999999995
2015-5-2,0.72586
2015-5-20,7.589650000000001
2015-5-21,6.455830000000003
2015-5-22,6.18655
2015-5-23,5.382539999999999
2015-5-24,0.15373
2015-5-25,0.31288
2015-5-26,4.4625900000000005
2015-5-27,7.761699999999996
2015-5-28,5.140570000000001
2015-5-29,0.15536000000000003
2015-5-3,0.48247000000000007
2015-5-30,1.12281
2015-5-31,0.7392599999999999
2015-5-4,4.61542
2015-5-5,6.72865
2015-5-6,5.6732
2015-5-7,6.892620000000001
2015-5-8,0.16679
2015-5-9,0.09146
2015-6-1,6.337069999999997
2015-6-10,4.2083699999999995
2015-6-11,5.660749999999998
2015-6-12,0.06797
2015-6-13,0.9498800000000003
2015-6-14,0.6291100000000001
2015-6-15,5.289619999999999
2015-6-16,4.1469499999999995
2015-6-17,4.605120000000001
2015-6-18,5.678229999999998
